内容编号	中文内容
1.5.3.1.1	系统对扩大裸头寸的仓位变动（开仓/平仓）行为进行惩罚，对减少裸头寸的仓位变动行为进行奖励。该值为正，则代表开多/平空需要支付动仓费，开空/平多可以获得动仓费；该值为负，则代表开空/平多需要支付动仓费，开多/平空可以获得动仓费。具体规则点击查看>>
1.5.3.2	持仓挖矿收益率
1.5.3.2.1	仓位杠杆越高，持仓挖矿的收益率越高。挖矿规则点击查看>>
1.5.4.1	市价委托
1.5.4.2	限价委托
1.5.4.3	开仓价
1.5.4.4	以市价成交
1.5.4.5	数值有误，请重新输入
1.5.4.6	开仓量
1.5.4.7	可开
1.5.4.8	划转
1.5.4.9	看涨 开多
1.5.4.10	看跌 开空
1.5.4.11	双向对冲
1.5.4.12	对冲交易只能选择市价委托
1.5.5.1	开仓确认
1.5.5.2	委托价格
1.5.5.3	市价委托
1.5.5.4	开仓类型
1.5.5.5	开多
1.5.5.6	开空
1.5.5.7	双向对冲
1.5.5.8	开仓量
1.5.5.9	动仓费（预估）
1.5.5.10	手续费
1.5.5.11	取消
1.5.5.12	确定
1.5.5.13	正在执行，请稍候
1.5.5.14	执行成功
1.5.5.15	执行失败，请重试
1.5.5.16	当前流动性处于限仓状态，您最多可以开仓
1.6.1.1	我的持仓
1.6.1.2	多
1.6.1.3	空
1.6.1.4	未实现盈亏
1.6.1.5	持仓量
1.6.1.6	当前价格
1.6.1.7	开仓均价
1.6.1.8	止损
1.6.1.9	止盈
1.6.1.10	持仓保证金
1.6.1.11	保证金率
1.6.1.12	强平价格
1.6.1.13	设置止盈止损
1.6.1.14	平仓
1.6.1.15	没有更多了
1.6.1.16	一键平仓
1.6.2.1	未实现盈亏：
1.6.2.1.1	多仓未实现盈亏 = (当前价格 - 开仓均价) * 持仓量
1.6.2.1.2	空仓未实现盈亏 = (开仓均价 - 当前价格) * 持仓量
1.6.2.2	持仓量：
1.6.2.2.1	持有此合约的数量
1.6.2.3	当前价格：
1.6.2.3.1	当前平台的指数（交易）价格
1.6.2.4	开仓均价：
1.6.2.4.1	此仓位的开仓平均价格
1.6.2.5	持仓保证金：
1.6.2.5.1	仓位占用的保证金=持仓额/杠杆
1.6.2.6	保证金率：
1.6.2.6.1	保证金比例越小，风险越大。当保证金率小于维持保证金率3%时开始触发强制减仓。具体规则点击查看>>
1.6.2.7	强平价格：
1.6.2.7.1	此价格为预估的强平价格。如果该合约的价格低于该价格(多仓)或高于该价格(空仓)，您可能会被强制平仓。了解更多>>
1.6.2.8	止损：
1.6.2.8.1	当价格达到止损设置的价格时，将自动平仓，此时仓位属于亏损状态，平仓防止继续亏损
1.6.2.9	止盈：
1.6.2.9.1	当价格达到止盈设置的价格时，将自动平仓，此时仓位属于盈利状态，平仓防止盈利回撤
1.6.3.1	设置止盈止损
1.6.3.2	开仓价格
1.6.3.3	当前价格
1.6.3.4	止盈设置
1.6.3.5	当合约价格到达 {0} 时，将会触发市价平仓当前仓位。预计盈利为 {1} USDT
1.6.3.6	止损设置
1.6.3.7	当合约价格到达 {0} 时，将会触发市价平仓当前仓位。预计亏损为 {1} USDT
1.6.3.8	数值有误，请重新输入
1.6.3.9	取消
1.6.3.10	确定
1.6.3.11	正在执行，请稍候
1.6.3.12	执行成功
1.6.3.13	执行失败，请重试
1.6.4.1	平仓
1.6.4.2	持仓量
1.6.4.3	开仓均价
1.6.4.4	当前价格
1.6.4.5	平仓量
1.6.4.6	数值有误，请重新输入
1.6.4.7	取消
1.6.4.8	确定
1.6.4.9	一键平仓
1.6.4.10	点击确定，我们将按市价立即平仓全部仓位
1.6.4.11	正在执行，请稍候
1.6.4.12	执行成功
1.6.4.13	执行失败，请重试
1.7.1.1	当前委托
1.7.1.2	多
1.7.1.3	空
1.7.1.4	委托价格
1.7.1.5	委托类型
1.7.1.6	委托数量
1.7.1.7	开仓/限价委托
1.7.1.8	平仓/止盈委托
1.7.1.9	平仓/止损委托
1.7.1.10	委托时间
1.7.1.11	取消委托
1.7.1.12	取消所有委托
1.7.1.13	没有更多了
1.7.2.1	委托价格：
1.7.2.1.1	此委托的目标成交价格
1.7.2.2	委托数量：
1.7.2.2.1	此委托将交易的合约的数量
1.7.2.3	委托时间：
1.7.2.3.1	委托的下单时间
1.7.3.1	取消委托
1.7.3.2	点击确定，取消该委托单
1.7.3.3	取消所有委托
1.7.3.4	点击确定，取消所有委托单
1.7.3.5	取消
1.7.3.6	确定
1.7.3.7	正在执行，请稍候
1.7.3.8	执行成功
1.7.3.9	执行失败，请重试
1.8.1.1	成交记录
1.8.1.2	多
1.8.1.3	空
1.8.1.4	盈亏
1.8.1.5	交易类型
1.8.1.6	成交价格
1.8.1.7	成交数量
1.8.1.8	成交金额
1.8.1.9	手续费
1.8.1.10	动仓费
1.8.1.11	分摊补偿
1.8.1.12	开仓/市价委托
1.8.1.13	开仓/限价委托
1.8.1.14	平仓/市价委托
1.8.1.15	平仓/止盈止损
1.8.1.16	平仓/自动减仓
1.8.1.17	平仓/强制平仓
1.8.1.18	没有更多了
1.8.2.1	已实现盈亏：
1.8.2.1.1	多仓已实现盈亏 = (平仓价格 - 开仓均价) * 持仓量
1.8.2.1.2	空仓已实现盈亏 = (开仓均价 - 平仓价格) * 持仓量
1.8.2.2	成交价格：
1.8.2.2.1	开/平仓时成交的价格
1.8.2.3	成交数量：
1.8.2.3.1	开/平仓时成交的仓位数量
1.8.2.4	成交金额：
1.8.2.4.1	开/平仓成交金额 = 成交价格 * 成交数量
1.8.2.5	手续费：
1.8.2.5.1	开/平仓时支付的手续费金额
1.8.2.6	动仓费：
1.8.2.6.1	开/平仓时支付的动仓费金额，负为支出，正为收入
1.8.2.7	分摊补偿：
1.8.2.7.1	以bDRF形式支付的金额
2.1.1.1	持仓挖矿收益
2.1.1.2	持仓额
2.1.1.3	历史累计收益
2.1.1.4	流水明细
2.1.1.5	提现
2.1.1.6	开仓
2.1.2.1	提现数量
2.1.2.2	可提现
2.1.2.3	全部提现
2.1.2.4	取消
2.1.2.5	提现
2.1.2.6	数值有误，请重新输入
2.1.2.7	正在执行，请稍候
2.1.2.8	执行成功
2.1.2.9	执行失败，请重试
2.1.3.1	持仓挖矿
2.1.3.2	类型
2.1.3.3	金额
2.1.3.4	余额
2.1.3.5	时间
2.1.3.6	收入
2.1.3.7	提现
2.1.3.8	没有更多了
2.2.1.1	eDRF账户
2.2.1.2	流水明细
2.2.1.3	质押量（DRF）
2.2.1.4	每日产量（eDRF）
2.2.1.5	提现
2.2.1.6	赎回
2.2.1.7	质押
2.2.2.1	提现 eDRF
2.2.2.2	提现数量
2.2.2.3	可提现
2.2.2.4	全部提现
2.2.2.5	取消
2.2.2.6	提现
2.2.2.7	数值有误，请重新输入
2.2.2.8	正在执行，请稍候
2.2.2.9	执行成功
2.2.2.10	执行失败，请重试
2.2.3.1	赎回 DRF
2.2.3.2	DRF账户
2.2.3.3	我的钱包
2.2.3.4	赎回数量
2.2.3.5	可赎回
2.2.3.6	全部赎回
2.2.3.7	取消
2.2.3.8	赎回
2.2.3.9	数值有误，请重新输入
2.2.3.10	正在执行，请稍候
2.2.3.11	执行成功
2.2.3.12	执行失败，请重试
2.2.4.1	质押 DRF
2.2.4.2	DRF账户
2.2.4.3	我的钱包
2.2.4.4	质押量
2.2.4.5	可质押
2.2.4.6	全部质押
2.2.4.7	取消
2.2.4.8	质押
2.2.4.9	数值有误，请重新输入
2.2.4.10	正在执行，请稍候
2.2.4.11	执行成功
2.2.4.12	执行失败，请重试
2.2.5.1	eDRF
2.2.5.2	类型
2.2.5.3	金额
2.2.5.4	余额
2.2.5.5	时间
2.2.5.6	收入
2.2.5.7	提现
2.2.5.8	燃烧
2.2.5.9	没有更多了
2.3.1.1	bDRF账户
2.3.1.2	流水明细
2.3.1.3	质押量（bDRF）
2.3.1.4	提现
2.3.1.5	兑换
2.3.1.6	赎回
2.3.1.7	质押
2.3.2.1	提现 bDRF
2.3.2.2	提现数量
2.3.2.3	可提现
2.3.2.4	全部提现
2.3.2.5	取消
2.3.2.6	提现
2.3.2.7	数值有误，请重新输入
2.3.2.8	正在执行，请稍候
2.3.2.9	执行成功
2.3.2.10	执行失败，请重试
2.3.3.1	兑换 bDRF
2.3.3.2	bDRF账户
2.3.3.3	我的钱包
2.3.3.4	兑换数量
2.3.3.5	可兑换
2.3.3.6	全部兑换
2.3.3.7	取消
2.3.3.8	兑换
2.3.3.9	数值有误，请重新输入
2.3.3.10	正在执行，请稍候
2.3.3.11	执行成功
2.3.3.12	执行失败，请重试
2.3.4.1	赎回 bDRF
2.3.4.2	bDRF账户
2.3.4.3	我的钱包
2.3.4.4	赎回数量
2.3.4.5	可赎回
2.3.4.6	全部赎回
2.3.4.7	取消
2.3.4.8	赎回
2.3.4.9	数值有误，请重新输入
2.3.4.10	正在执行，请稍候
2.3.4.11	执行成功
2.3.4.12	执行失败，请重试
2.3.5.1	质押 bDRF
2.3.5.2	bDRF账户
2.3.5.3	我的钱包
2.3.5.4	质押数量
2.3.5.5	可质押
2.3.5.6	全部质押
2.3.5.7	取消
2.3.5.8	质押
2.3.5.9	数值有误，请重新输入
2.3.5.10	正在执行，请稍候
2.3.5.11	执行成功
2.3.5.12	执行失败，请重试
2.3.6.1	bDRF
2.3.6.2	类型
2.3.6.3	金额
2.3.6.4	余额
2.3.6.5	时间
2.3.6.6	系统补偿
2.3.6.7	质押利息
2.3.6.8	提现
2.3.6.9	兑换
2.3.6.10	质押
2.3.6.11	赎回
2.3.6.12	没有更多了
3.1.1.1	经纪商
3.1.1.2	您尚未开通经纪商
3.1.1.3	申请成为经纪商
3.1.1.4	您需要燃烧{0}个eDRF以成为经纪商
3.1.1.5	eDRF账户
3.1.1.6	我的钱包
3.1.1.7	可用余额
3.1.1.8	取消
3.1.1.9	确认
3.1.1.10	账户余额不足，请切换账户
3.1.1.11	正在执行，请稍候
3.1.1.12	执行失败，请重试
3.1.1.13	您已成功开通经纪商身份
3.1.1.14	完善信息
3.1.2.1	钱包地址
3.1.2.2	名称
3.1.2.3	头像
3.1.2.4	经纪商编码
3.1.2.5	图片不得大于2M，请重新上传
3.1.2.6	您的编码已被占用，请重新设置
3.1.2.7	经济商信息
3.1.2.8	提交
3.1.3.1	账户余额
3.1.3.2	提现
3.1.3.3	今日收入
3.1.3.4	累计收入
3.1.3.5	经纪商权益有效期
3.1.3.6	我的推广页面
3.1.3.7	天
3.1.3.8	至{0}年{1}月{1}日
3.1.3.9	充值
3.1.3.10	说明：
3.1.3.11	 · 平台采取经纪商制度。所有的交易者只能通过访问经纪商的交易页面进行交易，Derify protocol并不直接面向交易者提供服务。
3.1.3.12	· 经纪商可以持续获得手续费奖励（未来还将获得额外的DRF奖励）。
3.1.3.13	· 经纪商需要燃烧eDRF才能保持享有该权益（当前，每600个eDRF可以维持一天的经纪商收益）。
3.1.3.14	 · 权益有效期到期后将无法获得经纪商奖励，但仍会保持经纪商身份，您可以随时燃烧eDRF恢复经纪商奖励权益。
3.1.4.1	提现
3.1.4.2	提现数量
3.1.4.3	可提现
3.1.4.4	全部提现
3.1.4.5	取消
3.1.4.6	提现
3.1.5.1	燃烧
3.1.5.2	当前余额
3.1.5.3	单价
3.1.5.4	eDRF账户
3.1.5.5	我的钱包
3.1.5.6	燃烧数量
3.1.5.7	有效期+{0}天
3.1.5.8	数值有误，请重新输入
3.1.5.9	取消
3.1.5.10	燃烧
3.1.5.11	正在执行，请稍候
3.1.5.12	执行成功
3.1.5.13	执行失败，请重试
3.1.6.1	账户流水
3.1.6.2	类型
3.1.6.3	金额
3.1.6.4	余额
3.1.6.5	时间
3.1.6.6	收入
3.1.6.7	提现
3.1.7.1	交易者信息
3.1.7.2	交易者地址
3.1.7.3	注册时间
4.1.1.1	数据
4.1.1.2	交易量
4.1.1.3	全部
4.1.1.4	手续费收入
4.1.2.1	持仓量
4.1.2.2	多头总仓位
4.1.2.3	空头总仓位
4.1.3.1	保险金池
4.1.3.2	保险金池余额
4.1.4.1	代币信息
4.1.4.2	指数
4.1.4.3	已销毁量
4.1.4.4	回购基金余额
4.2.1.1	交易记录
4.2.1.2	合约
4.2.1.3	交易类型
4.2.1.4	仓位
4.2.1.5	时间




















































































































































































































































































































































































































































